term_id,name,slug,description
49,Wings,wings,
50,LED,led,
51,Light,light,
52,Luminous,luminous,
53,Party,party,
54,Show,show,
55,Festival,festival,
56,Decoration,decoration,
119,Pillows,pillows,
120,Life,life,
121,"Attack on Titan",attack-on-titan,
122,Game,game,
123,Acrylic,acrylic,
124,Re:zero,rezero,
125,Genshin,genshin,
126,Food,food,
127,Draw,draw,
128,Dooll,dooll,
129,Read,read,
130,Clothes,clothes,
131,Creation,creation,
132,Office,office,
133,Anime,anime,
134,Toys,toys,
135,Stuffed,stuffed,
136,Sketchbook,sketchbook,
137,Shop,shop,
138,Shopper,shopper,
139,Ring,ring,
140,Ranobe,ranobe,
141,Poster,poster,
142,Pocky,pocky,
143,Pen,pen,
144,Pendant,pendant,
145,Case,case,
146,Paper,paper,
147,Figure,figure,
148,Note,note,
149,Book,book,
150,Mochi,mochi,
151,Daifuku,daifuku,
152,Manchwa,manchwa,
153,Manga,manga,
154,Lamp,lamp,
155,Kigurumi,kigurumi,
156,Key,key,
157,Sweet,sweet,
158,Japane,japane,
159,Chocolate,chocolate,
160,Head,head,
161,Headphones,headphones,
162,Glove,glove,
163,Ear,ear,
164,Earrings,earrings,
165,Drink,drink,
166,Dakimakura,dakimakura,
167,Cup,cup,
168,Cosplay,cosplay,
169,Comic,comic,
170,Bracelet,bracelet,
171,Art,art,
172,"Black Butler",black-butler,
173,accessories,accessories,
174,Legion,legion,
175,"Legion of Intelligence",legion-of-intelligence,
176,"Fairy Tail",fairy-tail,
177,L,l,
178,"Death Note",death-note,
179,naruto,naruto,
180,"Kimetsu no Yaiba",kimetsu-no-yaiba,
181,"ataka on titan",ataka-on-titan,
182,"genshin impact",genshin-impact,
183,crio,crio,
184,gloves,gloves,
185,"your name",your-name,
186,"demon slayer",demon-slayer,
187,phone,phone,
188,cat,cat,
189,keychains,keychains,
190,tanziro,tanziro,
191,pendats,pendats,
192,Kakegurui,kakegurui,
193,"ataka on totan",ataka-on-totan,
194,doll,doll,
195,figur,figur,
196,"hatsune miku",hatsune-miku,
197,vocaloid,vocaloid,
198,ball,ball,
199,beer,beer,
200,girl,girl,
201,lemonade,lemonade,
202,tea,tea,
203,green,green,
204,eat,eat,
205,handmade,handmade,
206,sushi,sushi,
207,strawberry,strawberry,
208,Haikyuu,haikyuu,
209,house,house,
210,Totoro,totoro,
211,pencil,pencil,
212,Tanako,tanako,
213,artbook,artbook,
214,hellboy,hellboy,
215,comics,comics,
216,rick,rick,
217,"rick and morty",rick-and-morty,
218,"one puch men",one-puch-men,
219,one,one,
220,"killing stalker",killing-stalker,
221,notebook,notebook,
222,scketchbook,scketchbook,
223,scketch,scketch,
224,45x45,45x45,
225,pillow,pillow,
226,"Chi Chi",chi-chi,
227,45x60,45x60,
228,"Hanji Zoe",hanji-zoe,
229,dog,dog,
230,"stuffed toys",stuffed-toys,
231,clothing,clothing,
232,midoria,midoria,
233,"my hero academy",my-hero-academy,
234,wig,wig,
235,stich,stich,
236,killua,killua,
237,hanterxhanter,hanterxhanter,
254,sketch,sketch,
255,schrek,schrek,
256,3D,3d,
257,beidou,beidou,
